time,cr
71,CR9A
130,CR9A
126,CR9A
80,CR9A
103,CR9A
141,CR9A
153,CR9A
116,CR9A
110,CR9A
88,CR9A
144,CR9A
73,CR9A
125,CR9A
108,CR9A
140,CR9A
84,CR9A
78,CR9A
90,CR9A
95,CR9A
126,CR9A
110,CR9A
84,CR9A
141,CR9A
83,CR9A
113,CR9A
86,CR9A
116,CR9A
77,CR9A
102,CR9A
160,CR9A
89,CR9A
125,CR9A
82,CR9A
140,CR9A
89,CR9A
114,CR9A
118,CR9A
242,CR9A
107,CR9A
136,CR9A
104,CR9A
126,CR9A
122,CR9A
118,CR9A
90,CR9A
81,CR9A
149,CR9A
101,CR9A
113,CR9A
155,CR9A
101,CR9A
132,CR9A
80,CR9A
125,CR9A
100,CR9A
121,CR9A
122,CR9A
106,CR9A
89,CR9A
160,CR9A
74,CR9A
90,CR9A
151,CR9A
87,CR9A
76,CR9A
156,CR9A
95,CR9A
109,CR9A
115,CR9A
82,CR9A
112,CR9A
78,CR9A
95,CR9A
129,CR9A
109,CR9A
108,CR9A
117,CR9A
71,CR9A
148,CR9A
92,CR9A
81,CR9A
95,CR9A
105,CR9A
100,CR9A
91,CR9A
84,CR9A
88,CR9A
100,CR9A
115,CR9A
83,CR9A
126,CR9A
128,CR9A
104,CR9A
101,CR9A
147,CR9A
141,CR9A
83,CR9A
84,CR9A
100,CR9A
140,CR9A
86,CR9A
80,CR9A
110,CR9A
88,CR9A
98,CR10A
128,CR10A
112,CR10A
114,CR10A
102,CR10A
183,CR10A
105,CR10A
144,CR10A
126,CR10A
90,CR10A
89,CR10A
81,CR10A
138,CR10A
90,CR10A
84,CR10A
124,CR10A
146,CR10A
116,CR10A
116,CR10A
127,CR10A
104,CR10A
132,CR10A
85,CR10A
92,CR10A
105,CR10A
130,CR10A
154,CR10A
100,CR10A
117,CR10A
118,CR10A
124,CR10A
115,CR10A
79,CR10A
124,CR10A
126,CR10A
96,CR10A
126,CR10A
98,CR10A
185,CR10A
229,CR10A
131,CR10A
131,CR10A
119,CR10A
119,CR10A
98,CR10A
132,CR10A
123,CR10A
82,CR10A
111,CR10A
15,CR1B
15,CR1B
14,CR1B
14,CR1B
8,CR1B
10,CR1B
15,CR1B
15,CR1B
18,CR1B
16,CR1B
12,CR1B
10,CR1B
13,CR1B
25,CR1B
15,CR1B
19,CR1B
14,CR1B
19,CR1B
16,CR1B
17,CR1B
7,CR1B
16,CR1B
15,CR1B
18,CR1B
16,CR1B
13,CR1B
52,CR1B
7,CR1B
10,CR1B
19,CR1B
12,CR1B
16,CR1B
9,CR1B
8,CR1B
21,CR1B
9,CR1B
8,CR1B
10,CR1B
9,CR1B
16,CR1B
12,CR1B
15,CR1B
8,CR1B
9,CR1B
13,CR1B
14,CR1B
11,CR1B
87,CR4B
79,CR4B
137,CR4B
88,CR4B
118,CR4B
119,CR4B
80,CR4B
115,CR4B
78,CR4B
127,CR4B
127,CR4B
148,CR4B
79,CR4B
85,CR4B
130,CR4B
120,CR4B
219,CR4B
208,CR4B
83,CR4B
79,CR4B
105,CR4B
159,CR4B
116,CR4B
118,CR4B
136,CR4B
95,CR4B
112,CR4B
102,CR4B
205,CR11B
204,CR11B
389,CR11B
381,CR11B
303,CR11B
216,CR11B
304,CR11B
210,CR11B
221,CR11B
248,CR11B
270,CR11B
312,CR11B
354,CR11B
231,CR11B
298,CR11B
650,CR11B
293,CR11B
318,CR11B
346,CR11B
570,CR11B
197,CR11B
207,CR11B
373,CR11B
304,CR11B
288,CR11B
237,CR11B
201,CR11B
333,CR11B
181,CR12B
157,CR12B
205,CR12B
147,CR12B
174,CR12B
221,CR12B
147,CR12B
321,CR12B
263,CR12B
183,CR12B
117,CR12B
128,CR12B
123,CR12B
129,CR12B
128,CR12B
121,CR12B
383,CR13B
228,CR13B
361,CR13B
220,CR13B
291,CR13B
346,CR13B
469,CR13B
383,CR13B
254,CR13B
226,CR13B
334,CR13B
306,CR13B
505,CR13B
331,CR13B
234,CR13B
394,CR13B
354,CR13B
328,CR13B
231,CR13B
461,CR13B
320,CR13B
379,CR13B
210,CR13B
234,CR13B
236,CR13B
244,CR13B
217,CR13B
206,CR13B
304,CR14B
549,CR14B
231,CR14B
342,CR14B
615,CR14B
355,CR14B
285,CR14B
508,CR14B
545,CR14B
269,CR14B
226,CR14B
378,CR14B
368,CR14B
536,CR14B
373,CR14B
277,CR14B
351,CR14B
274,CR14B
290,CR14B
213,CR14B
356,CR14B
438,CR14B
214,CR14B
358,CR14B
494,CR14B
318,CR14B
201,CR14B
299,CR14B
96,CR5B
352,CR5B
140,CR5B
108,CR5B
155,CR5B
322,CR5B
130,CR5B
322,CR5B
3102,CR5B
241,CR5B
175,CR5B
347,CR5B
172,CR5B
184,CR5B
290,CR5B
218,CR5B
154,CR5B
199,CR5B
148,CR5B
142,CR5B
168,CR5B
159,CR5B
515,CR5B
102,CR5B
198,CR5B
130,CR5B
89,CR5B
