time,model_name,size
166,S1,10364
130,S1,10364
81,S1,10364
76,S1,10364
79,S1,10364
105,S1,10364
104,S1,10364
113,S1,10364
103,S1,10364
93,S1,10364
492,S1,10364
86,S1,10364
146,S1,10364
85,S1,10364
109,S1,10364
102,S1,10364
87,S1,10364
133,S1,10364
92,S1,10364
132,S1,10364
159,S1,10364
108,S1,10364
93,S1,10364
109,S1,10364
92,S1,10364
83,S1,10364
92,S1,10364
92,S1,10364
137,S1,10364
110,S1,10364
136,S1,10364
137,S1,10364
96,S1,10364
157,S1,10364
158,S1,10364
86,S1,10364
124,S1,10364
136,S1,10364
90,S1,10364
94,S1,10364
97,S1,10364
112,S1,10364
112,S1,10364
106,S1,10364
125,S1,10364
123,S1,10364
124,S1,10364
75,S1,10364
107,S1,10364
167,S1,10364
190,S1,10364
125,S1,10364
113,S1,10364
77,S1,10364
88,S1,10364
94,S1,10364
76,S1,10364
101,S1,10364
71,S1,10364
130,S1,10364
126,S1,10364
80,S1,10364
103,S1,10364
141,S1,10364
153,S1,10364
116,S1,10364
110,S1,10364
88,S1,10364
144,S1,10364
73,S1,10364
125,S1,10364
108,S1,10364
140,S1,10364
84,S1,10364
78,S1,10364
90,S1,10364
95,S1,10364
126,S1,10364
110,S1,10364
84,S1,10364
141,S1,10364
83,S1,10364
113,S1,10364
86,S1,10364
116,S1,10364
77,S1,10364
102,S1,10364
160,S1,10364
89,S1,10364
125,S1,10364
82,S1,10364
140,S1,10364
89,S1,10364
114,S1,10364
118,S1,10364
242,S1,10364
107,S1,10364
136,S1,10364
104,S1,10364
126,S1,10364
122,S1,10364
118,S1,10364
90,S1,10364
81,S1,10364
149,S1,10364
101,S1,10364
113,S1,10364
155,S1,10364
101,S1,10364
132,S1,10364
80,S1,10364
125,S1,10364
100,S1,10364
121,S1,10364
122,S1,10364
106,S1,10364
89,S1,10364
160,S1,10364
74,S1,10364
90,S1,10364
151,S1,10364
87,S1,10364
76,S1,10364
156,S1,10364
95,S1,10364
109,S1,10364
115,S1,10364
82,S1,10364
112,S1,10364
78,S1,10364
95,S1,10364
129,S1,10364
109,S1,10364
108,S1,10364
117,S1,10364
71,S1,10364
148,S1,10364
92,S1,10364
81,S1,10364
95,S1,10364
105,S1,10364
100,S1,10364
91,S1,10364
84,S1,10364
88,S1,10364
100,S1,10364
115,S1,10364
83,S1,10364
126,S1,10364
128,S1,10364
